中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac1:76c0:118::312:1c,US,Toronto,隧道,20 ms,120 Mbps,15462 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,585 Mbps,74956 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,39 ms,564 Mbps,72294 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,60 ms,164 Mbps,20992 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,80 ms,112 Mbps,14336 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,210 Mbps,26931 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,97 ms,243 Mbps,31129 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,30 ms,564 Mbps,72294 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,69 ms,341 Mbps,43724 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,68 ms,63 Mbps,8099 kB/s
129.153.119.97,443,129.153.119.97,,Los Angeles,中转,0 ms,49 Mbps,6291 kB/s
150.136.121.64,443,2603:c020:4012:4388:c5e:f6e5:73e6:1535,US,Ashburn,隧道,28 ms,56 Mbps,7256 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,242 Mbps,31027 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,89 ms,51 Mbps,6533 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,37 ms,76 Mbps,9799 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,248 Mbps,31846 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,126 Mbps,16179 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,317 Mbps,40652 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,88 ms,133 Mbps,17100 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,75 ms,274 Mbps,35123 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,81 ms,42 Mbps,5414 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,113 Mbps,14540 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,37 ms,599 Mbps,76697 kB/s
